imei_prefix,model_name,brand,category_code,total_weight_kg,gold_g_per_ton,copper_kg_per_ton,search_aliases
35000100,iPhone 12,Apple,CEEW6,0.162,350.0,150.0,"iPhone12,A2172,Apple iPhone 12"
35000101,iPhone 13,Apple,CEEW6,0.173,350.0,150.0,"iPhone13,A2482,Apple iPhone 13"
35000102,iPhone 14,Apple,CEEW6,0.172,400.0,160.0,"iPhone14,A2882,Apple iPhone 14"
35000200,Galaxy S21,Samsung,CEEW6,0.169,300.0,140.0,"GalaxyS21,SM-G991B,Samsung S21"
35000201,Galaxy S22,Samsung,CEEW6,0.167,320.0,145.0,"GalaxyS22,SM-S901B,Samsung S22"
35000300,Redmi Note 10,Xiaomi,CEEW6,0.179,250.0,130.0,"RedmiNote10,M2010J19CI,Xiaomi Redmi"
35000301,Redmi Note 11,Xiaomi,CEEW6,0.181,260.0,135.0,"RedmiNote11,2201117TG,Xiaomi Redmi"
35000400,XPS 13,Dell,ITEW4,1.170,200.0,250.0,"XPS13,9300,Dell XPS"
35000401,XPS 15,Dell,ITEW4,1.860,220.0,280.0,"XPS15,9500,Dell XPS 15"
35000500,ThinkPad X1,Lenovo,ITEW4,1.130,180.0,300.0,"ThinkPadX1,X1 Carbon,Lenovo ThinkPad"
35000501,ThinkPad T490,Lenovo,ITEW4,1.460,190.0,290.0,"ThinkPadT490,T490,Lenovo T490"
35000600,MacBook Pro 13,Apple,ITEW4,1.400,250.0,200.0,"MacBookPro13,A2338,Apple MacBook"
35000601,MacBook Air,Apple,ITEW4,1.290,240.0,190.0,"MacBookAir,M1,Apple MacBook Air"
35000700,Pixel 6,Google,CEEW6,0.207,280.0,140.0,"Pixel6,GB7N6,Google Pixel"
35000800,OnePlus 9,OnePlus,CEEW6,0.183,270.0,135.0,"OnePlus9,LE2111,OnePlus 9"
